公司名称,公司编码
圆通速递,yuantong
中通快递,zhongtong
韵达快递,yunda
极兔速递,jtexpress
申通快递,shentong
京东物流,jd
邮政电商标快,youzhengdsbk
德邦快递,debangkuaidi
邮政标准快递,youzhengbk
菜鸟速递,danniao
中通快运,zhongtongkuaiyun
德邦物流,debangwuliu
跨越速运,kuayue
安能快运,annengwuliu
百世快运,baishiwuliu
顺心捷达,sxjdfreight
韵达快运,yundakuaiyun
顺丰快运,shunfengkuaiyun
京东快运,jingdongkuaiyun
壹米滴答,yimidida
EMS物流,emswuliu
安得物流,annto
日日顺物流,rrs
京广速递,jinguangsudikuaijian
吉时达物流,jsdexpress
优速,youshuwuliu
联昊通,lianhaowuliu
递四方,disifang
信丰物流,xinfengwuliu
速腾快递,suteng
加运美,jiayunmeiwuliu
中集冷云,cccc58
融辉物流,ronghui
平安达腾飞,pingandatengfei
百世快递,huitongkuaidi
安能快递,ane66
汇森速运,huisenky
海信物流,savor
笨鸟速运,benniaosuyun
佳成快递 ,jiacheng
全球捷运,globalexp
全通速递,quantong56
佰纳博通,viechina
宇鑫物流,yuxinwuliu
速通物流,sut56
源安达,yuananda
苏宁物流,suning
百腾物流,baitengwuliu
菜鸟大件,cainiaodajian
聚盟共建,jumstc
顺丰冷链,shunfenglengyun
华欣物流,chinastarlogistics
中通冷链,ztocc
德坤物流,dekuncn
芝麻开门,zhimakaimen
荣庆物流,rokin
宅急送,zhaijisong
货拉拉物流,huolalawuliu
三志物流,sanzhi56
雪域易购,qhxyyg
联邦快递,lianbangkuaidi
凌邦物流,czlbwl
诚和通,cht361
快捷快物流,gdkjk56
盛辉物流,shenghuiwuliu
邮速达,inpostysd
新杰物流,sunjex
可可树美中速运,excocotree
景光物流,jgwl
无忧物流,aliexpress
嘉里大通,jialidatong
超运快递,chaoyun
高铁快运,gaotieex
窝里快购,wlkgo
"岚骏速运	",lanjunsuyun
一速递,oneexpress
中外运物流,sinotrans
宏递快运,hd
金大物流,jindawuliu
袋鼠速递,xjdaishu
盛丰物流,sfwl
鸿泰物流,hnht56
橙联股份,orangeconnex
速必达,subida
秦歌物流,qingewuliu
百米快运,100mexpress
高田物流,gaotian56
佳吉快运,jiajiwuliu
豫德隆物流,hnydl56
鸿华物流,honghua
吉客道,jkdsaas
成都捷信安达物流,jxad56
中盟,zm156
世华通物流,szshihuatong56
YDH,ydhex
科力普物流,colipu
豪康物流,haokangwl
星光大道,xgdd56
安捷物流,anjie88
小米物流,xiaomiwuliu
顺达快递,sundarexpress
城市映急,city56
顺丰-繁体,shunfenghk
四季安物流,sja56
速邮达,suyoda
大田物流,datianwuliu
全联速运,guexp
鸿邦物流,hongbang56
同城快寄,shpost
云聚物流,yunjuwuliu
汇峰物流,huif56
君霖永辉物流,sdyonghui56
西邮寄速递,xyjexpress
耀奇物流,yaoqi
环东物流,huandonglg
小飞侠速递,cyxfx
宇路物流,yulu
贝业物流,boyol
敏華物流,manwah
汇达物流,hdcexpress
安敏物流,anmin56
渡石冷链,dushisc
斑马物流,banma
豪翔物流,haoxiangwuliu
富润德供应链,frd
万家物流,wanjiawuliu
日日顺智慧物联,gooday365
城通物流,chengtong
顺捷达,shunjieda
时安达速递,goex
晟泰物流,shengtai
考拉速递,koalaexp
家家通快递,newsway
邮来速递,youlai
安鲜达,exfresh
金岸物流,jinan
鲸广直运,jg56
速尔快递,suer
玥玛速运,yue777
腾达物流,tengdawl
中健云康,concare
三真驿道,zlink
美通,valueway
凯骐通物流,kqtwl
美乐维冷链物流,mlw
南天物流,nantianwuliu
安迅物流,anxl
贰仟家物流,erqianjia56
华夏快递,huaxiaglobal
联宇物流,lianyu
宇佳物流,yujiawl
宇达物流,szyudawl
优邦速运,ubonex
岑邦物流,cdjx56
广博物流,wxgbwl
远成快运,ycgky
安能运通物流,annengyuntong
大韩通运,cjkoreaexpress
东皓物流,donghao
开源物流,kaiyuan
快捷速递,kuaijiesudi
中速快递,zhongsukuaidi
广州安能聚创物流,gzanjcwl
极速达物流,jsdky
新骐点物流,xqd4000711238
飞康达,feikangda
飞力士物流,flysman
华兴物流,hxlinc
武汉赢运物流,whyywl
雅士物流,yashiwuliu
银雁专送,cfss
捷安达,jieanda
联运通物流,szuem
快捷物流,kuaijiewuliu
禄昌物流,lc56
响华速运,xianghua56
鑫达快递,xindaexp
中邮电商,chinapostcb
丰通快运,ftky365
签收快递,signedexpress
中汲物流,zhongji
传喜物流,chuanxiwuliu
江苏中邮,jscpl
龙俊物流,longjun
全峰快递,quanfengkuaidi
迅达速递,xdexpress
翔宇物流,xiangyuwl56
驿将快运,yijiangky
原飞航,yuanfeihangwuliu
上海生生物流,ashsh
"奔力物流	",blex56
德润鲜邦冷链,drxb
路吉物流,gdlujiwl
恒路物流,hengluwuliu
急先达,jixianda
想乐送,leshines
力展物流,lizhan
全信通快递,quanxintong
春风物流,spring56
飞腾物流,ft56
快速递,ksudi
全际通,quanjitong
瑞云冷链,rycc
红马甲物流,sxhongmajia
联合速运,unitedex
威盛快递,wherexpess
青岛安捷快递,anjiekuaidi
速舟物流,cnspeedster
"继达物流	",gdjida56
久久物流,jiujiuwl
康润物流,kangrun
新易泰,lnet
商桥物流,shangqiao56
天马迅达,tianma
五方速运,wfsywuliu
优速通达,yousutongda
安信达,anxindakuaixi
次晨达物流,ccd
飞速物流,feisu
新竹物流HCT,hctexpress
聚鼎物流,juding
鲲鹏顺达物流,kpsd56
丽迅物流,lesoon
联邦快递-英文,lianbangkuaidien
加拿大龙行速运,longcps
royal mail internationa,royal
杰响物流,shbwch
神骏物流,shenjun
正鑫小飞侠,tcxfx
优优速递,youyou
智谷特货,zhiguil
创运物流,zjcy56
一智通,1ziton
博信达,boxinda
彩丰物流,caifengwl
鑫宸物流,cdxinchen56
科捷物流,kejie
配思货运,peisihuoyunkuaidi
极地快递,polarexpress
泰进物流,taijin
九洲物流,wxjzwl
蓝天物流,xflt56
一路发物流,yilufawl
鸢速货运,yuansuhy
中环快递,zhonghuan
明辉物流,zsmhwl
139快递,139express
全程快递,agopost
安世通快递,astexpress
远通盛源,bjytsywl
华中快递,cpsair
大道物流,dadaoex
达发物流,dfwl
东红物流,donghong
飞豹快递,feibaokuaidi
凤凰快递,fenghuangkuaidi
广东通路,guangdongtonglu
黑猫速运,heimao56
黄马甲,huangmajia
佳怡物流,jiayiwuliu
锦程物流,jinchengwuliu
鼎润物流,la911
明亮物流,mingliangwuliu
无限配,omni2
顺捷美中速递,passerbyaexpress
尚橙物流,shangcheng
捷利货运,sjlexpress
嗖一下同城快递,sofast56
天地华宇,tiandihuayu
尚明物流,tianyancha
泰实货运,tjkjwl
天翼快递,tykd
万邦速达,wanbexpress
耀飞同城快递,yaofeikuaidi
黑猫同城送,ynztsy
远盾物流,yuandun
越丰物流,yuefengwuliu
愚公物流,yugong56
鼎昊物流,zgdh56
安家同城快运,anjiatongcheng
邦送物流,bangsongwuliu
卓志速运,chinaicip
ETEEN专线,eteenlog
冠达丰物流,gfdwuliu
天天快物流,guoeryue
光线速递,gxwl
恒邦物流,hengbang
猴急送,hjs
汇捷物流,hjwl
汇强快递,huiqiangkuaidi
无限速递,igcaexpress
捷昌达物流,jcd56
佳吉快递,jiajikuaidi
LBC Express,lbc56
Lite Express,lite56
吉运家物流,luckyexpress
龙兴物流,lx56
速呈,sczpds
特急便物流,sucmj
郑州速捷,sujievip
天辰物流,tianchenwuliu
万家通急送,wanjiatong
小泰智运,wtgyl
伍圆速递,wuyuansudi
银辉物流,yinhui56
一正达速运,yizhengdasuyun
友家速递,youjia
一站通速运,yztex
中邮物流,zhongyouwuliu
明大快递,adaexpress
德方物流,ahdf
卡邦配送,ahkbps
心怡物流,alog
安道达物流,andaoda
澳达国际物流,auadexpress
八达通,bdatong
锋鸟物流,beebird
彪记快递,biaojikuaidi
鑫锐达,bjxsrd
佰乐捷通,bljt56
博峰物流,bofeng
堡昕德速递,bosind
宏桥国际物流,briems
百事亨通,bsht
广州信邦,cbllogistics
钏博物流,cbo56
中迅三方,cd3fwl
城际快递,chengji
荣通国际,chinaqingguan
创新物流,chuangxin56
重庆星程快递,cqxingcheng
疯狂快递,crazyexpress
深圳德创物流,dechuangwuliu
东风全球速递,dfglobalex
递五方云仓,di5pll
云南滇驿物流,dianyi
递达速运,didasuyun
叮咚快递,dingdong
东瀚物流,donghanwl
德淘邦,dt8ang
俄顺达,eshunda
泛球物流,fanqiu
飞快达,feikuaida
富吉速运,fujisuyun
安速供应链,gdasgyl
英脉物流,gml
永邦快递,guangdongyongbang
贵州星程快递,gzxingcheng
海红网送,haihongwangsong
合心速递,hexinexpress
飞豹速递,hkeex
中强物流,hnzqwl
宏品物流,hongpinwuliu
华通快运,htongexpress
汇通天下物流,httx56
华夏货运,huaxiahuoyun
华宇物流,huayuex
户通物流,hutongwuliu
鸿远物流,hyeship
中电华远物流,hywuliu
恒宇运通,hyytes
泛太优达,iex
"爱淘速递	",itaoexpress
骏达快递,jdexpressusa
捷仕,jetstarexp
加佳物流,jiajiawl
近端,jinduan
景顺物流,jingshun
盈通物流,jisu
极速速运,jisukd
九曳供应链,jiuyescm
佳捷翔物流,jjx888
时达通,jssdt56
聚盟物流,jumsz
聚物物流,juwu
嘉里大荣物流,kerrytj
柬埔寨中通,khzto
凯信达,kxda
拉火速运,lahuoex
蓝镖快递,lanbiaokuaidi
立白宝凯物流,lbbk
两点之间,ldzy168
楽道物流,ledaowuliu
乐递供应链,ledii
美联快递,letseml
联运快递,lianyun
成都立即送,lijisong
领送送,lingsong
特急送,lntjs
长风物流,longvast
孟元物流,mengyuan56
南北快运,nbky
星云速递,nebuex
普畅物流,pcwl56
派尔快递,peex
品骏快递,pjbest
龙行天下,pmt0704be
秦邦快运,qbexpress
雪域快递,qhxykd
千里速递,qianli
秦岭智能速运,qinling
庆隆物流,qlx56
全日通,quanritongkuaidi
全速通,quansutong
人人转运,renrenex
日昱物流,riyuwuliu
广东融辉供应链,roh56
日日顺快线,rrskx
全时速运,runhengfeng
叁虎物流,sanhuwuliu
三态速递,santaisudi
四川星程快递,scxingcheng
山西建华,shanxijianhua
圣安物流,shenganwuliu
神州冷链,shenzhoulenglian
王牌快递,shipbyace
世运快递,shiyunkuaidi
双鹤物流,shuanghe
顺捷丰达,shunjiefengda
顺衍物流,shunyanwl
行必达,speeda
申必达,speedoex
